ds,yhat,yhat_lower,yhat_upper,metric
2019-01-01,2381.415228339027,1456.8665504942871,3264.684481401805,txn_count
2019-01-02,1844.0469617931399,883.4501545883703,2785.526422244683,txn_count
2019-01-03,1904.6035368242979,959.2794352706412,2788.345661597224,txn_count
2019-01-04,1829.5096237624707,899.182248974674,2724.805084828271,txn_count
2019-01-05,2363.128150111753,1423.526224184502,3266.9124548266373,txn_count
2019-01-06,2861.0344144257774,1946.934945022799,3700.7816415492175,txn_count
2019-01-07,2852.199922428045,1937.5184781527933,3776.678328782877,txn_count
2019-01-08,1492.4839802792162,552.9971189708525,2391.586734457694,txn_count
2019-01-09,1038.2975653117003,178.82876197817893,1969.95677785025,txn_count
2019-01-10,1186.2118737997368,264.53151771381124,2031.9226676263509,txn_count
2019-01-11,1200.9225158421643,293.00097805313885,2186.8994388660517,txn_count
2019-01-12,1825.0874948821852,911.6458017216233,2721.95710885028,txn_count
2019-01-13,2412.6364566579928,1511.8788321113693,3275.6663055210893,txn_count
2019-01-14,2490.98748787867,1542.063688564664,3424.3483345421055,txn_count
2019-01-15,1214.568783368428,262.04758673007495,2189.901780634485,txn_count
2019-01-16,838.5090671389835,-56.154757305694076,1769.3793111605246,txn_count
2019-01-17,1058.2686276380266,155.45502887745337,1977.6504843884015,txn_count
2019-01-18,1137.6215050765497,218.41788250564642,2052.307875097858,txn_count
2019-01-19,1818.5066480514765,845.0713863964547,2628.555918046647,txn_count
2019-01-20,2454.345350652979,1576.300225062252,3378.955731046352,txn_count
2019-01-21,2572.2611386288545,1559.9903138956838,3404.205792636563,txn_count
2019-01-22,1326.599518689084,427.888809705926,2250.150170277209,txn_count
2019-01-23,972.6116295495585,76.89106496530005,1904.0942781546016,txn_count
2019-01-24,1206.0739464236513,245.4622247472692,2092.124376968484,txn_count
2019-01-25,1291.2549685640613,398.2499074625156,2169.4965674840482,txn_count
2019-01-26,1970.7471950876914,1128.7857579298252,2933.4936169306293,txn_count
2019-01-27,2598.76224187127,1702.5675243087949,3554.114217730489,txn_count
2019-01-28,2703.325934829061,1807.1992053861159,3650.4465743708665,txn_count
2019-01-29,1439.7714229989253,545.5539903851598,2381.1520813244574,txn_count
2019-01-30,1064.3950697903106,150.9998288637009,1985.773125034899,txn_count
2019-01-31,1274.0479789218878,457.7063678511801,2204.306851706522,txn_count
2019-02-01,1334.074785416399,384.1252127058945,2298.342857565127,txn_count
2019-02-02,1988.1186922924694,1082.973110616823,2908.311072429091,txn_count
2019-02-03,2591.3912390860073,1680.8432654686828,3528.9889738699108,txn_count
2019-02-04,2672.844214143518,1738.5887341005464,3571.2586473822644,txn_count
2019-02-05,1388.6422553785098,528.6636704469315,2343.989788866905,txn_count
2019-02-06,995.8013494305651,69.27228231533437,1939.7701559223487,txn_count
2019-02-07,1191.7663690050215,300.11441899771893,2069.3073471117355,txn_count
2019-02-08,1242.3395705933226,324.9443879546674,2127.5050952999663,txn_count
2019-02-09,1891.4791469007414,983.9775738309265,2752.9593594104676,txn_count
2019-02-10,2494.566364645868,1608.2833203536004,3454.753658707846,txn_count
2019-02-11,2580.578640096134,1698.586917120218,3573.6180502296297,txn_count
2019-02-12,1305.5669480353415,379.59175184492324,2229.3116713729,txn_count
2019-02-13,926.3025056869021,-30.389081412902136,1807.212726233247,txn_count
2019-02-14,1139.8656020693097,288.59878761509066,2049.6975211910344,txn_count
2019-02-15,1211.58805224763,269.648056633611,2164.325488469425,txn_count
2019-02-16,1884.8679498271154,972.5095119572484,2869.387825660322,txn_count
2019-02-17,2514.4547525193016,1594.4597017854016,3400.3061022795787,txn_count
2019-02-18,2628.641532967577,1712.6786520629075,3561.763846216465,txn_count
2019-02-19,1382.7622554506804,388.85908675246435,2425.188035717687,txn_count
2019-02-20,1032.8584840561816,114.7981013584348,1946.4210210619938,txn_count
2019-02-21,1275.2878703256577,321.7182043502007,2139.890464021204,txn_count
2019-02-22,1374.6854037594694,442.7764890601764,2266.842406150152,txn_count
2019-02-23,2073.7956422770835,1171.6729974366265,2971.986090483704,txn_count
2019-02-24,2726.773548057918,1797.6791308575628,3630.734768194015,txn_count
2019-02-25,2861.39041393048,1938.294672076024,3778.5637701987457,txn_count
2019-02-26,1632.54245709959,733.2935291933782,2528.1435899222342,txn_count
2019-02-27,1295.9262744835873,385.6600110981457,2223.3505662949633,txn_count
2019-02-28,1547.6533707109456,578.9873419387598,2481.953712438577,txn_count
2019-03-01,1652.214681166652,771.7383470736879,2566.0073865222375,txn_count
2019-03-02,2352.3133198893684,1427.1478423300205,3228.479744161413,txn_count
2019-03-03,3002.1632651593245,2072.252879092727,3857.4070817109005,txn_count
2019-03-04,3129.690618877098,2210.408231952434,4024.150348111284,txn_count
2019-03-05,1890.0352310160824,958.0599466750114,2783.3649496135045,txn_count
2019-03-06,1539.2171497184372,679.0960322033425,2434.067663389523,txn_count
2019-03-07,1773.7404187041243,830.5716522113288,2668.43554358783,txn_count
2019-03-08,1858.5454887633457,879.5350585773073,2802.5667316271692,txn_count
2019-03-09,2536.828841469428,1617.4879188148093,3477.32636903395,txn_count
2019-03-10,3163.3279188676347,2287.6548056473,4043.363126507567,txn_count
2019-03-11,3266.5083768235413,2427.003838862641,4193.085555951018,txn_count
2019-03-12,2002.0518360083688,1068.5480264977152,2932.7354610380335,txn_count
2019-03-13,1626.5089321514529,712.4488351897933,2596.8228824764506,txn_count
2019-03-14,1836.8905326573213,884.076882581968,2732.6451723107975,txn_count
2019-03-15,1898.6086734358755,924.7755875169278,2839.5184416941274,txn_count
